timestamp_us,ax,ay,az,gx,gy,gz,roll,pitch,yaw
302365248.0,0.1309,0.0391,-0.2104,-7.04,-47.664,-15.029,45.28553862407653,-23.677390491200384,-44.22524768999898
302378248.0,0.168,0.0215,-0.1636,-3.5,-39.241,-15.823,47.78501718523715,-24.615283177285086,-44.42815857999898
302391248.0,0.1719,0.0176,-0.1313,-5.209,-31.795,-16.922,50.20977634794921,-25.57686472012423,-44.64535646999898
302404248.0,0.1768,0.0029,-0.1704,-5.88,-13.546,-17.593,52.710684712900814,-26.160151156216187,-44.87127735999898
302417248.0,0.1694,-0.0005,-0.1357,-6.368,9.343,-17.288,47.97908021222163,-26.545186407715143,-45.093233249998974
302430248.0,0.209,-0.0088,-0.1104,-5.636,30.583,-17.349,43.43835964233148,-26.867478474879945,-45.31598213999897
302443248.0,0.2187,-0.0044,-0.1235,-5.697,48.832,-15.884,38.937336845250016,-26.9198393227783,-45.51968602999897
302456248.0,0.27,-0.0151,-0.1504,-5.27,70.866,-13.687,34.60563006812156,-26.694985101601706,-45.69482891999897
302469248.0,0.2998,-0.0234,-0.1514,-4.171,90.458,-10.147,30.435613635482994,-26.268520407125,-45.82395180999897
302482248.0,0.3135,-0.0308,-0.1792,-5.392,105.046,-7.278,26.35277107556641,-25.60380595277705,-45.91577769999897
302495248.0,0.2915,-0.0312,-0.209,-3.256,119.206,-6.179,22.3535604056207,-24.655468751522736,-45.99331658999897
302508248.0,0.2603,-0.0127,-0.2881,0.59,131.779,-6.301,18.36400256439937,-23.326111636102617,-46.07244147999897
302521248.0,0.2173,-0.0332,-0.3315,10.721,139.042,-5.386,14.647206333945043,-21.75168633025434,-46.13967136999897
302534248.0,0.1719,-0.0371,-0.4121,27.14,138.066,-5.142,11.202426733953802,-20.010112264689226,-46.20372925999897
302547248.0,0.062,-0.0181,-0.5376,46.122,130.741,-7.827,8.004054068868019,-18.076980112938678,-46.302692149998975
302560248.0,-0.0674,-0.0225,-0.7114,56.376,123.417,-9.414,4.997949205808787,-16.036127724924086,-46.42228603999897
302573248.0,-0.1235,-0.0391,-0.9424,66.569,102.604,-9.414,2.1931111469075915,-14.260247758496476,-46.54187992999897
302586248.0,-0.1904,0.0005,-1.2563,76.456,90.153,-8.56,6.7223575902984,-12.655344820725398,-46.65037181999897
302599248.0,-0.2505,0.02,-1.4189,80.057,85.392,-5.264,11.191200813590754,-11.115330928931808,-46.71601570999897
302612248.0,-0.2246,0.0654,-1.6372,76.456,76.115,-2.09,15.495190825479181,-9.768424551545486,-46.74039759999897
302625248.0,-0.1377,0.1304,-1.8408,66.63,70.927,1.572,19.55262863215747,-8.585309069282088,-46.71717348999897
302638248.0,-0.0879,0.1201,-2.0342,56.803,65.434,3.403,23.417184694635274,-7.531784287877741,-46.67014637999897
302651248.0,-0.0317,0.1377,-2.1343,44.047,66.288,6.15,27.035685630202302,-6.52086628265083,-46.58740826999897
